sent_1,sent_2,sim,label,rand_id
A man is cutting pieces of butter into a mixing bowl,Pieces of butter are being added to the stand mixer,4.0,ENTAILMENT,4716
A man is slicing a fish,A fish is being cut by a man,4.4,ENTAILMENT,5794
A man is showing off a small monkey,A man is holding a big animal in one hand,2.9,NEUTRAL,4697
Someone is boiling okra in a pot,Okra is being cooked in a pan,4.1,NEUTRAL,3538
A skier in white is catching a tiny bit of air,A skier in black is catching a tiny bit of air,4.0,NEUTRAL,8425
Four athletes are with a man in a crowded stadium,Four athletes are with a person in a crowded stadium,4.7,ENTAILMENT,7925
There is no monkey pulling a dog's tail,A monkey is pulling a dog's tail,3.4,CONTRADICTION,4806
Two women are dancing,Two women are not dancing,3.3,CONTRADICTION,4574
Two bmx bikers are jumping dirt ramps in front of a body of water,Some bikers are doing acrobatics on a track near water and a skyline,3.3,NEUTRAL,8329
A woman is using a machine made for sewing,A woman is using a sewing machine,4.8,ENTAILMENT,2164
A tree is being cut by a man with an axe,A man is chopping down a tree with an axe,4.7,ENTAILMENT,2903
A man with paint covered clothes is sitting outside in a busy area writing something,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,4.8,ENTAILMENT,391
A woman is wakeboarding on a lake,The woman is not waterskiing,3.6,CONTRADICTION,2305
A surfer is riding the wave,A rider is surfing the wave,4.6,ENTAILMENT,7459
A man is emptying a container made of plastic,A frog is being held carelessly by a man,1.1,NEUTRAL,1707
A young swimmer is sitting in a bathing suit and waiting for the next race,A kid is waiting wearing swim gear,3.515,ENTAILMENT,9471
A cat is playing keyboards,There is no cat playing keyboards,3.9,CONTRADICTION,3847
The milk is being drunk by a cat,The cat is drinking some milk,5.0,ENTAILMENT,1690
An animal is biting a person's finger,An animal is biting someone's finger,5.0,ENTAILMENT,5875
The group of people is sitting in a dim room,The group of dim people is sitting in a room,3.5,NEUTRAL,7468
People are sitting at square tables in a red room,Several people are sitting at little tables in a darkened room,3.4,NEUTRAL,8356
A woman dressed in elegant clothing is inside a crowd of people and is looking down,A fur scarf is being held by an Asian woman,1.9,NEUTRAL,7940
A man on a yellow dirt bike is taking a jump,A cyclist on a yellow bike is airborne,4.5,ENTAILMENT,8610
The white rally car is throwing mud into the air and is approaching a bend in the track,A white rally car is throwing mud into the air and is approaching a bend in the track,4.9,ENTAILMENT,7898
A dog is jumping in the shade of some trees,A dog is jumping on a trees in the shades,3.6,NEUTRAL,9449
A man who is wearing headphones is opening a package ,A woman is riding a horse,1.2,NEUTRAL,1104
A boat is sailing peacefully over the water,The guitar is being played by the man,1.1,NEUTRAL,1676
A machine is sharpening a knife,A machine is sharpening a pencil,2.9,NEUTRAL,1359
A woman is speaking loudly on her cell phone and is keeping a purse and a yellow bag on the near ledge,A woman is speaking on her cell phone and is keeping a purse and a yellow bag on the near ledge,4.7,ENTAILMENT,7246
A blond kid in green is sitting on a swing,A blonde boy in green is sitting on a swing,4.8,ENTAILMENT,6948
Some people and vehicles are on a crowded street,Some people and vehicles are on a almost empty street,4.2,CONTRADICTION,8263
A man is mixing,A man is arranging the garden,1.5,NEUTRAL,1273
The man is pacing around a room,A man is sitting on the floor in a room and strumming a guitar,2.5,NEUTRAL,3102
The man is playing the guitar,There is no man playing the guitar,3.1,CONTRADICTION,5847
A malnourished looking dog is standing on its hind legs and preparing to jump,The malnourished looking dog is standing on its hind legs and is preparing to jump,5.0,ENTAILMENT,6241
A girl is on a jumping car,The girl is recklessly jumping onto a car,4.0,NEUTRAL,1648
A person is pouring cooking oil into a pot,A person is pouring olive oil into the stove from a pot,3.9,NEUTRAL,2778
Two women dressed in white and black are sitting on a bench,Two people are sitting on a park bench on a rainy day,3.9,NEUTRAL,8512
A man is cooking a snake,There is no man cooking a snake,3.7,CONTRADICTION,4767
A woman is beating two eggs in a bowl and using a whisk made of wire,There is no woman beating two eggs in a bowl and using a whisk made of wire,4.0,CONTRADICTION,2079
Four people are performing music outdoors,A white man is staging a hat and a playing guitar,2.9,NEUTRAL,6964
A man is removing some food from a box,A man is putting some food in a box,3.4,NEUTRAL,5391
A woman is firing a rifle,A woman is cutting fruit,1.5,NEUTRAL,5504
A young boy in a helmet is riding a bike on the road,A bike is ridden on the road by a young boy in a helmet ,4.9,ENTAILMENT,8091
A woman is snowboarding down an incline and another woman is standing behind her,There is no woman snowboarding down an incline and there is no other woman standing behind her,4.3,CONTRADICTION,6489
A man is speaking on a stage,A man is speaking on a podium,4.3,NEUTRAL,1205
A boy under an umbrella is being held by his father who is wearing a blue coat,"A boy, who is wearing a blue coat, is being held by his father under an umbrella ",4.3,NEUTRAL,7726
The brown dog is jumping in the air,A brown dog is jumping in the air,4.5,ENTAILMENT,7839
A man is uninterestedly holding a sign and is seeking money,A bearded man is standing by a shopping cart and is holding a cardboard sign,3.8,NEUTRAL,6922
A man on a motorcycle is going around a corner,A motorcyclist on a bike is leaning into a sharp corner,4.0,NEUTRAL,8459
A horse is tossing the cowboy wearing pants of blue and red color,The cowboy is tossing the blue and red pants towards the horse,2.9,NEUTRAL,975
A man is screwing a piece of wood to a wall,There is no man massaging a woman,1.3,NEUTRAL,4515
A dog is running on the road,A man is running on the road,3.7,NEUTRAL,4062
A man is playing a large flute,A large flute is being played by a man,4.9,ENTAILMENT,5347
The small dog is walking outside and is carrying a colorful toy in its mouth,A dog is running on concrete and is holding a blue ball,3.6,NEUTRAL,9757
A woman is cutting broccoli,A man is cutting tomatoes,2.4,NEUTRAL,5497
A karate practitioner is kicking at another man who is wearing protective boxing gloves,A karate practitioner is kicking at another man who is wearing protective gloves for boxing,4.8,ENTAILMENT,2711
A waterfall is flowing out of a shallow pool,A waterfall is flowing into a shallow pool,3.5,NEUTRAL,6387
A boy is sitting in a room and playing a piano by lamp light,A boy is playing a keyboard,4.0,ENTAILMENT,2994
A badger is shrewdly digging the earth,The badger is burrowing a hole,4.2,ENTAILMENT,1586
A person is eating a cut onion,A person is cutting an onion,3.6,NEUTRAL,2327
"Two people are in the snow, wearing clothes that provide camouflage",Two men are walking two dogs with golden coats in the snow,3.2,NEUTRAL,802
A woman is riding a Seadoo,There is no person riding a jetski in the waves,2.7,CONTRADICTION,4043
The man dressed in leather chaps and a purple shirt is standing in front of someone lookers,A man is not wearing a purple shirt and black leather chaps and is posing for the camera,3.8,NEUTRAL,9400
A woman is riding a horse,A woman is riding an animal,4.5,ENTAILMENT,4304
The woman is eating,A woman is mixing eggs,2.2,NEUTRAL,1259
The cat perched on the table is looking out the window,Someone on a perch is looking at a small wooden cat that is on a white cabinet outside the window ,2.9,NEUTRAL,3491
The group of people is sitting on a ledge which is rocky and a scenic view is behind them,The group of people is sitting on a rocky ledge and a scenic view is behind them,5.0,ENTAILMENT,6185
A little girl is frowning and taking off a fake nose and glasses,A little girl is smiling and wearing a fake nose and glasses,3.1,NEUTRAL,7707
There is no man spraying a super soaker into the mouth of a dog,A person is chopping an onion,1.0,NEUTRAL,9936
People are sitting against a wall,Five adults are sitting on stone steps,3.2,NEUTRAL,8630
A person is riding an old motorcycle,A person is riding a motorcycle,4.4,ENTAILMENT,1387
Two men and a girl in front of a wood panel wall are posing with funny faces,The friends are making faces for the camera,3.5,NEUTRAL,9328
No skateboarder is making a jump off a ramp,A man dressed in black is wearing inline skates and performing a trick on a rail,2.3,NEUTRAL,8685
The man is chopping a tree trunk with an axe,A man is chopping a log with an axe,4.4,NEUTRAL,3459
"Two toddlers are sleeping in a wagon, which is really small",Two young kids are eating corndogs,1.6,NEUTRAL,957
A large man is sitting in a military accessories store,A veteran is showing different things from a war to some people,2.8,NEUTRAL,9093
A dog is emerging from a lake,An animal is emerging from a lake,4.6,ENTAILMENT,9644
A man is playing a flute,There is no man playing an electronic keyboard,2.3,NEUTRAL,4242
The man is sitting next to a birdcage,The man is standing next to a bird cage,4.5,NEUTRAL,6093
A dog is running on the grass and chasing a ball,A brown and white dog is catching a dirty tennis ball in a dirt field,3.9,NEUTRAL,9656
The woman in the white sweater is not drawing a tattoo on the hand of a teenager,The woman in the white sweater is drawing a tattoo on the hand of a teenager,3.9,CONTRADICTION,7609
The boy isn't playing the piano happily,A boy is happily playing the piano,3.8,CONTRADICTION,1766
A man with a camera is studying the subject,The man in the purple hat isn't operating a camera that makes videos,3.2,NEUTRAL,732
The black and white dog is running in a field,The black and white dog is running outdoors,4.4,ENTAILMENT,9435
A man is riding an electric bicycle,A person is riding an electric bicycle,4.5,ENTAILMENT,5772
The white bird is landing swiftly in the water,A large white crane is flying near the water,3.5,NEUTRAL,5988
There is no girl playing a flute,A girl is playing a flute,3.6,CONTRADICTION,5310
A policeman is sitting tiredly on a motorcycle,The cop is sitting on a police bike,4.1,ENTAILMENT,6253
An animated airplane is landing,The plane is landing,4.1,ENTAILMENT,2813
A man is making a sketch,A man is drawing,4.1,ENTAILMENT,4320
The man is standing on a rocky mountain and gray clouds are in the background,"The man is standing on a mountain, which is rocky, and gray clouds are in the background",4.7,ENTAILMENT,5941
A woman is cutting potatoes,A woman is slicing potatoes,4.9,ENTAILMENT,4869
The snowboarder is leaping over white snow,A leap over white snow is greatly appealing to the snowboarders,3.2,NEUTRAL,1037
The small child is walking through the water and is being guided by another person,A young child is splashing in the water,3.4,NEUTRAL,6042
A man is singing and playing a guitar,A person is singing and playing a guitar,4.9,ENTAILMENT,3992
A cartoon airplane is landing,An animated airplane is landing,4.7,ENTAILMENT,2809
Someone is writing,Someone is typing,3.7,NEUTRAL,3346
A young child is climbing a rock climbing wall which is indoors,A child is indoors watching a program about some young climbers on a rock wall.,3.2,NEUTRAL,657
A woman who is taking off a pink boa is stopping her bicycle on a bridge built for pedestrians,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,3.7,NEUTRAL,516
A monkey is practicing martial arts,There is no monkey kicking a person,2.9,NEUTRAL,4725
Some dogs are playing in a stream,Two dogs are looking at something that is moving in the water,3.2,NEUTRAL,7817
A woman is slicing a fish,A woman is chopping garlic,2.535,NEUTRAL,4971
There is no man patting an alligator on the mouth,A man is patting an alligator on the mouth,3.6,CONTRADICTION,4417
Men are running a race,Some racers are running down a track,3.9,NEUTRAL,3682
A racer is leaning on a racing motorcycle,A man is leaning on a racing motorcycle,4.3,NEUTRAL,9723
No dog is in the sand that is blowing in the wind,A dog is in a sandy area with the sand that is being stirred up into the air and several plants are in the background,4.0,CONTRADICTION,9425
The man is carelessly smearing butter on a slice of garlic bread,"A piece of bread, which is big, is having butter spread upon it by a man OR A piece of bread, which is big, is being spread with butter by a man",4.1,NEUTRAL,1854
The woman is not putting pasta into a dish,The woman is putting pasta into a dish,3.3,CONTRADICTION,5204
The man is singing and playing the guitar,The guitar is being played by a man,4.3,ENTAILMENT,3909
A man is standing on a sidewalk,There is no man standing next to a bus,2.3,NEUTRAL,7200
A waterfall is flowing into a shallow pool,The people are walking on the road beside a beautiful waterfall,2.3,NEUTRAL,6394
