id	sim	sent_1	sent_2
MSRpar#SP124	2.5	مصر وإسرائيل، وأستراليا هم آخرون لهم نفس الوضع .	الأمم مثل إسرائيل وأستراليا لديهم بالفعل نفس الوضع.
MSRpar#SP125	3.5	تظهر النتائج في مجلة الجمعية الطبية الأميركية  التي تصدر يوم الأربعاء (مواقع الأخبار).	سيتم نشر النتائج في مجلة الجمعية الطبية الأميركية وذلك في قضية يوم الأربعاء .
MSRpar#SP126	4.75	إضافة إلى ذلك، فإن مهد h2210 لديه مكان لشحن بطارية ثانية.	مهد لh2200 لديه مكان لإعادة شحن بطارية ثانية.
MSRpar#SP127	3	قال الجيش أن القوات الأمريكية ضربت يوم الإثنين عشرات الأهداف ، أسفرت عن مقتل ستة مقاتلين واعتقال 21 آخرين.	ضربت القوات الأمريكية يوم الإثنين عشرات أهداف ، أسفرت عن مقتل ستة مقاتلين واعتقال 99 آخرين خلال 1،729 دورية و 25 غارة نقذت على مدى 24 ساعة.
MSRpar#SP128	3.5	أشار واحد من 14 كرديا إلى كلمة "لاجئ" في قاموس  إنجليزي / تركي .	استسهل أحد الرجال إلى قاموس إنجليزي-تركي وأشار إلى كلمة" "لاجئ"
MSRpar#SP129	4	قال السيد هوارد " أن التعاون الوثيق بين وكالات تنفيذ القانون وأجهزة الاستخبارات تكمن في قلب المعركة الجارية ضد الإرهاب".	قال "كان التعاون الوثيق بين وكالات تنفيذ القانون الإقليمية وأجهزة الاستخبارات ، قلب المعركة ضد الإرهاب.
MSRpar#SP13	5	وقعت الجلسة  بعد يوم من  تخصيص وزارة الدفاع الأمريكية للمرة الأولى الضابط، دلاجر، بعدم التصدي للفضيحة	وقعت الجلسة بعد يوم واحد  من إبعاد وزارة الدفاع الأمريكية للمرة الأولى الضابط دلاجر- لفشله في التصدي للفضيحة.
MSRpar#SP130	2	تقول المجموعة أنه في عام 2006 سينتعش السوق بنسبة 29.6 في المئة ، ليحقق مقدار21.3 مليار دولار من المبيعات.	في عام 2006، ستعطي شركة آجا باسيفيك تقريرا عن نمو بنسبة 7.9 في المئة ليصل إلى 81,8 بليون دولار .
MSRpar#SP131	3.2	قال الكابتن روبرت رمزي من الفرقة المدرعة  الأمريكية الأولى:  أن الشاحنة انفجرت خارج المبنى حوالي الساعة 11:00صباحا ، وأن أحد  الجدران الخارجية للمجمع قد انهارت.	قال الكابتن روبرت رمزي من الفرقة المدرعة  الأمريكية الأولى : أن الشاحنة انفجرت خارج المبنى في حوالي الساعة 11 صباحا.
MSRpar#SP132	3.6	جاءوا على الرغم مما تسميه ب.أ "الربع الصعب"، التي  قالت أنه يشمل إضرابا غير رسمي في مطار هيثرو.	قالت ب.أ :أن الربع الثاني، الذي شمل إضرابا غير رسمي في مطار هيثرو، كان صعبا
MSRpar#SP133	3.8	في هذا الخريف الشمالي سيعمل مدربون من الولايات المتحدة مع جنود من أربع دول من شمال أفريقيا ،للقيام بدوريات وجمع المعلومات الاستخبارية.	في وقت لاحق من هذا العام، سترسل القيادة المدربين مع جنود من أربع دول من شمال أفريقيا في مهام دورية لجمع المعلومات الاستخبارية.
MSRpar#SP134	5	ألقت إدارة بوش باللوم على أنصار صدام حسين والمتشددين الإسلاميين الأجانب ،الذين دخلوا العراق لقتال القوات الأمريكية ،في موجة من التفجيرات وهجمات للمسلحين.	ألقت  إدارة بوش باللوم ضد موجة من التفجيرات والهجمات التي يشنها المسلحون على الموالين لصدام والمتشددين الإسلاميين الأجانب الذين دخلوا العراق للقتال ضد القوات الأمريكية.
MSRpar#SP135	4	تبين لاحقا أنه قد كسر فخذه الأيمن والعظام في رسغه الأيمن والكوع.	أكد الأطباء المتجولون لاحقا أنه قد كسر ساقه اليمنى قرب الفخذ ،وأصيب أيضا بكسورفي الرسغ والكوع .
MSRpar#SP136	3	المؤلف هو واحد من العديد من خبراء الدفاع ، الذي من المتوقع أن  يدلي بشهادته .	من المتوقع أن يدلي سبيتزلاحقا بالشهادة للدفاع .
MSRpar#SP137	2.5	قال الدكتور باتريك بيروكس رئيس جمعية أطباء غرفة الطوارئ : أن "الأرقام أصبحت كارثية"	قال الدكتور باتريك بيلوكس  رئيس جمعية فرنسا لأطباء الطوارئ: "هذا غير مقيول "
MSRpar#SP138	3	"مهما كان قد حدث لك عن طريق العقاب ،فهو بالتأكيد أكثر من كاف"،هذا ما قاله كوفيللو البالغ من العمر 49 عاما ، الذي شغلت أسرته وأصدقاؤه و مؤيدوه نصف قاعة المحكمة.	قال كوفيللو :"ما حدث لك، يا سيدي، على سبيل العقاب، هو بالتأكيد أكثر من كاف"
MSRpar#SP139	4	زعمت الأم أيضا في الدعوى أنها تعرضت للاعتداء الجنسي من قبل أحد الحراس.	ادعت الأم أيضا أنها تعرضت للاعتداء الجنسي من قبل أحد الحراس أثناء الاشتباك عام 1998.
MSRpar#SP14	5	،قال الكاهن بنفسه  بيتر كارانجا رئيس مجلس كاتدرائية جميع القديسين في نيروبي: أن الكنيسة الأسقفية تبعد نفسها عن الطائفة الإنجيلية'	"في نيروبي، قال كاهن كاتدرائية جميع القديسين، بيتر كارانجابنفسه أن الكنيسة الأسقفية الأمريكية تبعد نفسها عن الطائفة الإنجيلية
MSRpar#SP142	2.625	نعم، من اليوم ذاكرة فلاش التي يتم  شراؤها من AMD أو فوجيتسو سيتم وصفها بسبانشن .	حلول ذاكرة سبانشن فلاش متاحة في جميع أنحاء العالم من  خلال AMD وفوجيتسو.
MSRpar#SP143	3.200	قال اثنان من أكبر صانعي السيارات في العالم أن مبيعات الولايات المتحدة انخفضت  أكثر مما كان متوقعا الشهر الماضي ، كما تسببت موجة مبيعات أواخر الصيف ردود فعل عنيفة من جهة الصناعة  أكثر مما كان متوقعا.	"انخفضت المبيعات المحلية  لكل من جنرال موتورز و شركة فورد موتوررقم 2 أكثر مما كان متكهن به  ، كما دفعت موجة المبيعات أواخر الصيف لردة فعل أكبر مما كان متوقعا  في الصناعة.
MSRpar#SP144	4	عاصفة استوائية تطورت بشكل سريع في خليج المكسيك يوم الأحد، حيث كان من المتوقع أن تضرب مكانا ما على طول سواحل تكساس أو لويزيانا يوم الإثنين ليلا .	"عاصفة استوائية تطورت بشكل سريع في خليج المكسيك يوم الأحد ، ويمكن أن تحمل رياحا بقوة الإعصار عندما تضرب الأرض في أي مكان على طول ساحل لويزيانا ليلة الاثنين.
MSRpar#SP145	3.200	قد يرتفع الضغط بشكل جيد يوم الخميس، مع التغطية المحلية للجولة النهائية التي خططت لها ESPN، شبكة كابل الألعاب الرياضية.	سوف يتكثف الضغط اليوم، مع التغطية المحلية للجولة النهائية التي خططت لها ESPN والكلمات التي هي أكثر صعوبة.
MSRpar#SP146	2.400	أشاد باتاكي بقرار إبراهيم، وقال رئيس ليبا ريتشارد كيسيل : يجب أن يبقى الكابل في العملية بشكل دائم.	"قال رئيس ليبا ريتشارد كيسيل: هذا يعني أن الكابل يمكن أن يستخدم" "كما نراه مناسبا.
MSRpar#SP147	4.4	جزء من الاتفاق كان تنفيذ مجلس الصحة الخاص الذي من شأنه  مراقبة الإنفاق على الرعاية الصحية والتقدم في إصلاح النظام الصحي.	جزء رئيسي من الاتفاق كان تنفيذ مجلس خاص لمراقبة الإنفاق على الرعاية الصحية، وتحديد الأهداف للنظام وقياس التقدم المحرز في إصلاح الرعاية الصحية.
MSRpar#SP148	3.6	جاء داين لجامعة كاليفورنيا في سان دييغو في عام 1991 بعد مرور22 عاما من عمله كفيزيائي في مختبرات بيل AT & T .	مكث داين في جامعة كاليفورنيا في سان دييغو منذ عام 1991 بعد أن أمضى 22 عاما في مختبرات بيل  AT & T ، حيث عمل على الموصلات الفائقة وغيرها من المواد.
MSRpar#SP149	2.4	انخفضت أسهم الخطوط الجوية البريطانية بنسبة 1.5 في المئة ، أي 168 بنسا ،في تمام الساعة 14:20 بتوقيت جرينتش ،  أي أقل من 164 بنسا، بشكل أقوى قليلا في سوق لندن العام .	انخفضت أسهم الخطوط الجوية البريطانية ثلاثة في المئة، أي 165-1 / 4 بنسا في الساعة 09:33 بتوقيت جرينتش ،أي أقل  من 164 بنسا، في سوق أقوى
MSRpar#SP15	5	ستضم المقاطعات مع انخفاض عدد السكان البرتقالي المائل للحمرة، البوسي والماديسون.	عدد سكان المقاطعة من البرتقالي المائل للحمرة، البوسي و الماديسون سوف ينخفض.
MSRpar#SP150	3.6	وافق مجلس الشيوخ الثلاثاء على رفع الحظر المفروض والذي مدته 10 سنوات ، وذلك في مجال بحث وتطوير  الأسلحة النووية ،ذو العائد المنخفض.	قضت قوانين كل من مجلسي النواب والشيوخ على إنهاء الحظر المفروض على البحث والتطوير في الأسلحة النووية ذو العائد المنخفض.
MSRpar#SP151	4.6	التهاب السحايا هو التهاب  في سائل الحبل الشوكي والأنسجة المحيطة بالمخ.	التهاب السحايا هو التهاب في السائل الموجود  في الحبل الشوكي و ما وحول الدماغ للإنسان .
MSRpar#SP152	4.4	صنعت كل من شركات، تشيرون وأفنتيس باستور، معا حوالي 80 مليون جرعة من حقن اللقاح،و الذي يكفي عادة لتلبية الطلب في الولايات المتحدة.	ذكرت وكالة أسوشيتد برس أن كل من شركات، تشيرون وأفنتيس باستور، عملوا  معا على إنتاج حوالي 80 مليون جرعة من حقن اللقاح،و الذي يكفي عادة لتلبية الطلب في الولايات المتحدة.
MSRpar#SP153	4.4	قال رئيس البلدية جوت. باركر مساء الخميس أن العمال الثلاثة كانوا رجلين وامرأة ، حيث كانواداخل المبنى عندما وقع الانفجار الاول.	قال رئيس البلدية جو ت. باركر :العمال المفقودون الذين كانوا داخل المبنى عندما وقع الانفجار الأول هم رجلان وامرأة .
MSRpar#SP154	4.6	قال مسؤول  المجلس ومقره لندن، علي صفوي، لرويترز: "نحن ندين هذا الهجوم، الذي هو برأينا غير قانوني ،ولا يمكن تبريره  سياسيا ولا أخلاقيا."	قال مسؤول  المجلس ومقره لندن، علي صفوي، لرويترز عبر الهاتف: "نحن ندين هذا الهجوم، الذي هو برأينا غير قانوني ،ولا يمكن تبريره  سياسيا ولا أخلاقيا."
MSRpar#SP155	4.4	اكتشف المحققون وجود  شظية بطول4 إنشات ،وذلك  داخل عظمة كانت تحت بلاطة اسمنتية يوم الخميس، إلا أنه تبين أن تكون عظام حيوانات.	اكتشف المحققون وجود شظية داخل عظمة بطول 4 بوصة ليلة الخميس، لكن السلطات قالت أنها عظمة حيوان.
MSRpar#SP157	3.6	انفجرت بين يديه، ولكن رئيس الوزراء الإيطالي السابق لم يصب بأذى.	الرسالة عبارة عن قنبلة ، تم إرسالها إلى برودي الذي انفجرت بين يديه لكنه لم يصب بأذى.
MSRpar#SP158	4.2	نحو 95 مليون أميركي - نصف الأسر -يستثمرون في صناديق الاستثمار المشترك.	ما يقرب من نصف مجموع الأسرفي الولايات المتحدة لديهم أموال في صناديق الاستثمار المشترك.
MSRpar#SP159	3.2	نفى المحامي العسكري الحلبي في سلاح الجو، الميجور جيمس كي، الاتهامات التي يمكن أن تحمل عقوبة الإعدام.	نفى المحامي جيمس كي الثالث الذي يمثل الحلبي ، نفى هذه الاتهامات،ذلك وفقا لأسوشيتد برس .
MSRpar#SP16	3.4	قال شوارتز، الذي اتهم في فبراير الماضي، بأن نيو هامبشاير كان المكان الخطأ لاتهامه.	كان شوارتز قد سعى لرفض الاتهام ، قائلا إن نيو هامبشايركان المكان الخطأ لتوجيه الاتهام له.
MSRpar#SP160	2	قال وسكال برسالة إلى المحكمة: " مزقت عائلتي إربا .	اعتذروسكال للمحكمة، وموظفيه وعائلته، ذلك طلبا منه للتساهل .
MSRpar#SP161	2.8	قال جاير:تلقت المدينة منذ أوائل مايو، 1400 تقريرا عن الغربان الزرقاء الميتة.	قال :منذ أوائل مايو، تلقت المدينة 1400 تقريرا .
MSRpar#SP162	1.6	لكن فورست، منظمة الحرية للحق في التمتع بتدخين التبغ، قالت: '' أذكروا كلمة حظر، ليعرف الجميع ماذا حدث هناك.	"قالت منظمة فورست للحق في التمتع بتدخين التبغ، أنها استقبلت دعوة لانسيت ل" "التسلية والكفر"
MSRpar#SP163	3.4	أقر مجلس النواب في آخر دورتين  المشروعية لوصفة طبية ، لكن مجلس الشيوخ لم ينجح في إقرارها.	أقر مجلس النواب مشاريع قوانين آخر مؤتمرين ، ولكن مجلس الشيوخ لم يفعل ذلك.
MSRpar#SP164	4	فور تحويلها،  سوف تمتلك شركة باي ستار مجموع ما يقرب من 2,95 مليون سهم من أسهم شركة شنغهاي للتعاون المشتركة المنظمة ،أو 17.5 في المئة من أسهم الشركة غير المسددة.	يعطي الاستثمار  لشركة لاركسبور، مقرها في كاليفورنيا شركة باي ستار ، أكثر من 2.9 مليون سهم من الأسهم المشتركة لمنظمة شانغهاى للتعاون، أو 17.5 في المئة من أسهم الشركة غير المسددة.
MSRpar#SP165	2.6	تم حث كبار السن ،والذين يعانون من ضعف في جهاز المناعة أيضا للحماية من لدغات البعوض.	لكنها يمكن أن تكون قاتلة  لكبار السن والذين يعانون من ضعف في جهاز المناعة .
MSRpar#SP167	3	افتتحت شركة وينستون-سالم، الواقعة شمال كارولينا ستة مخازن خلال الربع، ليصل المجموع إلى 282.	"تم افتتاح ستة محلات كريسبي كريم الجديدة في الربع الأول، ليصل العدد الإجمالي للمخازن إلى 282.
MSRpar#SP168	3.600	قال توماس إزيل ،محامي السيدة لافرتي، لصحيفة كنتاكي: "ما أفهمه من هذا هو أنه هناك نسبة أقل من عمليات الإشباع ناجحة مع التجميد .
MSRpar#SP169	5	طلبت لجنة التجارة الاتحادية (FTC) من الكونغرس اليوم ،سلطات إضافية لمكافحة  بريد الإنترنيت المزعج وغير المرغوب ،و الذي يصل  الآن إلى  أكثر نصف مجمل حسابات البريد الإلكتروني.	"طلبت لجنة التجارة الاتحادية من الكونغرس بالأمس سلطات أوسع لمهاجمة المشكلة المتفاقمة بشكل سريع من البريد المزعج، والتي تظهر دراسات جديدة أنها حسابات النصف من مجمل حركة البريد الإلكتروني.
MSRpar#SP17	5.000	في آخر مرة تم فيها إجراء المسح، عام 1995، تم تطابق تلك الأرقام.	في المسح الأخير من عام 1995، كانت تلك الأرقام متساوية.
MSRpar#SP170	3.400	قامت هيئة محلفين اتحادية كبرى يوم الثلاثاء بتوجيه الاتهام لهم ، ولم يتم ختم الوثيقة حتى يوم أمس للسماح للسلطات القيام بعمليات الاعتقال.	قال مسؤولون فيدراليون: ظلت الوثيقة مغلقة حتى صباح يوم الخميس ،للسماح للسلطات القيام بالاعتقالات في خمس ولايات غربية.
MSRpar#SP171	4.000	الناس الذين عارضوا هذه الأعمال في جميع الأنحاء يحاولون الآن إيجاد أسباب جديدة للقول بأن  هذا لم يكن الشيء الصحيح الذي ينبغي عمله ".
MSRpar#SP172	4	اعتقل كلارمن من قبل وكلاء مكتب التحقيقات الفدرالي في هامبتونز، وهو مصيف القطاع الشرقي الوحيد لمدينة نيويورك.	اعتقل كلارمن من قبل وكلاء مكتب التحقيقات الفدرالي صباح الاثنين في منزله في نيويورك.
MSRpar#SP173	3.5	قال المطران للشرطة انه يعتقد انه ضرب كلبا أو قطة أو أن أحدهم قد ألقى صخرة في سيارته.	أخبر المطران أوبراين، البالغ من العمر67 عاما الشرطة أنه يعتقد أنه ضرب كلبا أو قطة.
MSRpar#SP174	4.5	يزعم التقرير أيضا أنه  سيكون هناك ارتفاع يصل إلى 9.3 مليون زائر إلى النقاط الساخنة هذا العام، بزيادة ضئيلة مرة أخرى بنسبة 2.5 مليون في عام 2002.	وقال غارتنر "سيكون هناك 9.3 مليون زائر إلى المناطق الساخنة في عام 2003، بارتفاع من 2.5 مليون في عام 2002.
MSRpar#SP175	3.2	مكث ريتشارد ميلر في المستشفى بعد خضوعه لعملية زرع كبد، بينما تعافت زوجته.	ريتشارد ميلر (57 عاما)بقي على قيد الحياة بعد عملية زرع كبد منقذة للحياة ،لكنه لا يزال في المستشفى.
MSRpar#SP176	3.8	لم يتسن على الفور للممثلين المتعاقبين الوصول للتعليق على إعلان منظمة شانغهاى للتعاون.	لم يتمكن المتحدث باسم منظمة شانغهاى للتعاون الوصول للتعليق بعد ظهر هذا اليوم.
MSRpar#SP177	3.2	انخفضت نسبة السكان  المتمثلة  بأرباب العمل من 62.3 في المئة في عام 2001 إلى 61.3في المئة في العام الماضي.	"انخفضت نسبة الأميركيين العاملين ممن لديهم تأمين إلى 61.3 في المئة، من 62.6 في المئة في عام 2001 و 63.6 في المئة في عام 2000.
MSRpar#SP18	4.000	حكمت المحاكم العليا أن أجهزة لوحية اقتحمت الفصل الدستوري بين الكنيسة والدولة.	قضت المحاكم الاتحادية أن التمثال التذكاري ينتهك الحظر الدستوري ضد الدين المؤسس للدولة.
MSRpar#SP180	3.000	ظلت العائلات عالقة في سياراتها على الطريق السريع ، وتستخدم هواتفها المحمولة  لإجراء المكالمات الخاصة بمنازلهم.	تم حث الأسر العالقة على الطريق السريع إلى البقاء في سياراتها، واستخدام الهواتف المحمولة الخاصة بهم فقط في حالة الطوارئ.
MSRpar#SP181	4.250	بصدد الحادث، أعترف بأنني تصرفت بشكل غير لائق ".
MSRpar#SP182	1.5	ملصق ترويجي، بدأ العد التنازلي لاستكماله ، يذكر القراء بالهوية القادمة ل "هاري بوتر وجماعة العنقاء".	إن  الصناديق مليئة بالنسخ ذات التغليف القوي من" "هاري بوتر وجماعة العنقاء".
MSRpar#SP183	4.25	قال متحدث : "منذ شهر نوفمبر، ونحن متعاونون بشكل كامل مع الشرطة.	أضيف أنه كان" "متعاونا بشكل كامل" "مع الشرطة منذ شهر نوفمبر.
MSRpar#SP186	3	الناس الذين كان يعتقد سابقا أن ضغط الدم لديهم على ما يرام، في الواقع قد يكونوا في طريقهم إلى ارتفاع ضغط الدم ، ذلك في إطار المبادئ التوجيهية الجديدة للولايات المتحدة التي نشرت يوم الاربعاء.	الناس الذين كان يعتقد سابقا أن ضغط الدم لديهم على ما يرام ، في الواقع هم بحاجة للبدء بممارسة التمارين الرياضية وتناول الطعام بشكل أفضل،هذا وفقا للمبادئ التوجيهية الأمريكية الجديدة التي نشرت يوم الاربعاء.
MSRpar#SP187	3.5	قال بالأمس المتخصص "مازال جاريا عمل المزيد من الاختبارات ، ولكن في هذه المرحلة، وبالنظر إلى الكشف المبكر، فإن التوقعات في مثل هذه الحالات أن تكون إيجابية	قال : "لكن في هذه المرحلة، ونظرا للكشف المبكر، يمكن أن تكون التوقعات في مثل هذه الحالات إيجابية"،
MSRpar#SP188	3.75	ذكرت وكالة أمازون أيضا أن مكتب المدعي العام في نيويورك أقر تهم الاحتيال المدنية مع تحديد واحدة منها .	أقرت فعلا  وكالة أمازون ومكتب المدعي العام في نيويورك أحد مزورين البريد الإلكتروني.
MSRpar#SP19	3.2	كانوا خلال عطلة نهاية الأسبوع في مستشفى رافلز وذلك لعمل مزيد من التقييم.	فقد تم إخضاعهم لمزيد من الفحوص خلال عطلة نهاية الأسبوع، حيث يقبعون الآن في مستشفى رافلز.
