sent_1	sent_2	sim
Esta operación ha sido posible gracias a la tregua humanitaria de tres días acordada entre el régimen y los rebeldes sirios.	El corredor para la entrada de la ayuda humanitaria y el alto el fuego de tres días es el primer resultado tangible de las conversaciones mantenidas en Ginebra entre representantes del régimen y de la oposición.	1.6
El responsable de la OIEA, Ali Akbar Salehi, afirmó esta semana que Irán estaría dispuesto a realizar salgunas modificaciones en los planos para producir menos plutonios, si bien insistió que se trata de un reactor de investigación.	En respuesta a esas inquietudes, el jefe de la OIEA, Ali Akbar Salehi, afirmó esta semana que Irán está dispuesto a shacer algunas modificaciones en los planes para producir menos plutonios, aunque repitió que Arak es un reactor de investigación.	3.8
Según el sondeo, 87% de los católicos cree que Francisco está haciendo un buen o excelente trabajo.	El 87% de los católicos del mundo aprobaron el trabajo del papa, reveló una encuesta divulgada el domingo.	3.75
Con mucha prudencia y sin entrar en detalles, el vocero de la Casa Blanca, Jay Carney, aclaró hace algunos días que la separación de Hollande y la que era hasta hace poco su pareja, Valérie Trierweiler, no representa ningún problema logístico para la visita de Estado.	Para el banquete de del martes, la Casa Blanca ya había impreso las invitaciones en las que constaban el nombre de Hollande y el de Trierweiler.	1.8
El Rey es recibido cerca de la puerta del Palacio Real que se abre a la Plaza de la Armería por el presidente del Gobierno, Mariano Rajoy, a su llegada al acto de celebración solemne de la Pascua Militar que ha presidido hoy, acompañado por la Reina y los Príncipes de Asturias.	Sánchez Cerén ganó las votaciones del domingo, pero sin lograr la mitad más uno de los votos y tendrá que enfrentarse en la segunda ronda el 9 de marzo al derechista Norman Quijano.	0
Según RIA Novosti, el agresor es un joven de 25 años de edad que trabajaba en una agencia de seguridad y ya se encuentra detenido.	El hombre, de 24 años, trabajaba para una firma privada de seguridad en la ciudad y estaba armado con un fusil.	1.8
El zoo de Copenhague sacrificó hoy a una jirafa de dos años alegando que tenía que evitar futuros problemas de consanguinidad, pese a una intensa campaña pública en internet para salvar su vida y a la propuesta de alternativas.	De nada han servido las miles de firmas que han recogido varias peticiones populares online, las quejas de varias organizaciones no gubernamentales para la protección de los animales y las ofertas de otros zoológicos, que se mostraron dispuestos a acoger al animal que Copenhague prefería sacrificar.	2.8
Hollande estará lunes y martes en Washington para pasar después el miércoles en San Francisco, en la que será la primera visita de Estado de un presidente francés a Estados Unidos desde 1996.	La inusual salida de Obama con un líder extranjero inició dos días de eventos por la visita de Estado de Hollande a Estados Unidos.	2
sEs un tema que hemos conversado con la presidenta electa Michelle Bachelets, acotó desde Cartagena de Indias, Colombia, donde se encuentra para participar en la Cumbre de la Alianza del Pacífico.	El mandatario insistió que este tema se sestá estudiandos y que ha sido sconversado con la presidenta electa, Michelle Bachelets, quien asumirá el 11 de marzo.	2
El cartel dice ser una orden mística cristiana dedicada a proteger a la población de las fuerzas armadas y de la policía .	El detenido se dedicaba a la extorsión y al tráfico de drogas, según informó la corporación.	0.6
El resto de los porcentajes se lo repartieron otros cinco aspirantes, mientras 0,7% no respondió la encuesta realizada de forma telefónica por la empresa Datexco entre 1.620 personas del 29 al 31 de enero pasado en cinco regiones del país y con un margen de error de 2,4 puntos porcentuales.	La muestra de Ipsos consultó a 1.008 personas del 29 al 29 de enero en 13 ciudades del país y tuvo un margen de error de 3,1 puntos porcentuales.	1
Irán accedió el domingo a colaborar con una investigación de la agencia de supervisión atómica de Naciones Unidas sobre sus actividades en torno al desarrollo de armas nucleares, lo que podría ser un importante logro de las prolongadas conversaciones con la república islámica.	La agencia de supervisión atómica de Naciones Unidas espera convencer a Teherán para que responda a las sospechas en torno a sus actividades de enriquecimiento de uranio, que se cree están dirigidas al desarrollo de armas atómicas.	2
El sábado se aplicó un nuevo aumento del pasaje en Río de Janeiro, desatando nuevas protestas esta semana en la ciudad.	Santiago Andrade se encontraba cubriendo las protestas por el aumento del precio del transporte en el centro de Río de Janeiro para el canal de televisión Band cuando fue alcanzado por un artefacto explosivo lanzado por manifestantes, según indicó la Policía.	1.8
El Consejo de Ministros de Exteriores de la Unión Europea aprobó hoy abrir la negociación de un acuerdo de diálogo político y cooperación con Cuba para profundizar sus relaciones, acompañar las reformas emprendidas por la isla y fomentar mayor respeto por los derechos humanos en el país.	El Consejo de Ministros de Exteriores de la Unión Europea dio hoy luz verde a iniciar la negociación de un acuerdo de diálogo político y cooperación con Cuba, con vistas a acompañar las reformas en la isla y apoyar un mayor respeto por los derechos humanos.	4
sLa libertad de manifestación es un principio fundamental de la democracia y jamás puede ser usado para matar, herir, agredir y amenazar vidas humanas, ni depredar patrimonio público o privados, dijo Rousseff en una serie de mensajes en Twitter.	sEs inaceptable que las protestas democráticas se vean distorsionadas por los que no tienen respeto por la vida humana.s	2
Para el jefe de la diplomacia iraní, hay que acabar con el sdéficit de confianzas mutuo, olvidar ilusiones y mostrarse pragmático, así como buscar una solución sequilibradas al conflicto en torno al programa nuclear de su país. Desde el viernes han intervenido en este foro, entre otros, el secretario general de la ONU, Ban Ki-moon, el secretario de Estado de EEUU, John Kerry, el ministro de Asuntos Exteriores ruso, Sergéi Lavrov, el presidente del Consejo Europeo, Hermann Van Rompuy, y el ministro de Defensa español, Pedro Morenés. © EFE 2014.	Desde el viernes han intervenido en la MSC, además de Ban, Kerry y Zarif, otros espadas de la política exterior y la seguridad internacional, el ministro ruso de Exteriores, Sergéi Lavrov, el presidente del Consejo Europeo, Hermann Van Rompuy, y el ministro español de Defensa, Pedro Morenés.	2.2
Suiza volverá a limitar la entrada de los trabajadores europeos a su mercado laboral 303 2.	Por ello, la Comisión Europea slamentas la iniciativa de introducir cuotas para la restricción de la inmigración europea a su mercado laboral.	1.8
Sebastián Piñera, que está a punto de terminar su gestión como mandatario chileno, reveló en la reciente cumbre de presidentes de la Alianza del Pacífico, realizada en Colombia, que su país stendrá que evaluar si se mantiene o se retira del Pacto de Bogotá”.	Ha señalado que su país estudiará la posibilidad de retirarse del denominado Pacto de Bogotá, que es el que permite a los países de la región resolver sus diferencias en el marco del Tribunal de La Haya, que pertenece a Naciones Unidas.	2.4
Mandela dejó su patrimonio, valorado en 4,1 millones de dólares, a su esposa Graça Michel, a miembros de su familia, a varios colaboradores, a escuelas y al Congreso Nacional Africano , el partido en el que militó toda la vida, de acuerdo con un resumen de sus voluntades reveladas el lunes.	Tras una lectura pública del testamento, Mandela lega parte de su patrimonio además de a su familia, a sus organizaciones benéficas, a sus colaboradores más cercanos y a su partido, el Congreso Nacional Africano .	3
La responsable de la Secretaría de la Madre Tierra de la Gobernación de Cochabamba, Cinthia Vargas, se trasladó a la comunidad e informó que se envió a la zona brigadas de rescate del grupo SAR-FAB, la Policía, médicos y ambulancias para la atención de los sobrevivientes.	Por otra parte, la campaña de la Federación de Trabajadores de la Prensa de Cochabamba realizará hoy el recuento de la recolección de víveres, medicamentos y ropa, para distribuirlas desde el miércoles.	1.6
La Comisión Europea emitió un comunicado en el que slamentas la iniciativa, consideró que la medida sva en contra del principio de libertad de movimiento entre la UE y Suizas y avanzó que sexaminará las implicaciones en las relaciones bilateraless.	Ahrenkilde subrayó que sla UE tiene que revisar las implicaciones políticas y jurídicas s y cómo afectará a las relaciones entre ambos.	2.2
Las opciones de castración o de reintroducción en la naturaleza se desecharon por sus posibles efectos adversos, así como el traslado de Marius a otro centro de la Asociación Europea de Zoos y Acuarios (EAZA) por incompatibilidad genética.	Un zoológico sueco informó el sábado al diario Expressen haber solicitado sin éxito el traslado de Marius.	1.8
El automotor que se volcó transportaba personal del distrito. Hay treinta personas heridas y ninguna víctima mortal, confirmaron los Bomberos de Bogotá.	Según el reporte del Cuerpo Oficial de Bomberos, el bus de turismo accidentado, afiliado a la empresa Renetur S.A., de placas TTP 373, llevaba a un grupo de funcionarios del Distrito de entre 50 y 60 años de edad de la Secretaría de Integración Social, Idipron, la Contraloría Distrital, Movilidad y Catastro.	2
La semana pasada el parlamento ofreció una amnistía para algunos de los detenidos con la condición de que los manifestantes desalojen los edificios que vienen ocupando.	Entre las concesiones aceptadas por el presidente, Yanukovich aprobó la semana pasada la derogación de las recientes leyes que limitaban el derecho de manifestación y ofreció una amnistía con condiciones a los activistas que habían sido detenidos durante los disturbios.	1.8
El resto de los porcentajes se lo repartieron otros cinco aspirantes, mientras 0,7% no respondió la encuesta realizada de forma telefónica por la empresa Datexco entre 1.620 personas del 29 al 31 de enero pasado en cinco regiones del país y con un margen de error de 2,4 puntos porcentuales.	La muestra de Ipsos consultó a 1.008 personas del 29 al 29 de enero en 13 ciudades del país y tuvo un margen de error de 3,1 puntos porcentuales.	1.4
La ayuda ha estado llegando este domingo a los barrios más castigados de la ciudad, luego que el sábado se registraran varios ataques contra los convoyes humanitarios de las Naciones Unidas y la Media Luna Roja, de los que el régimen sirio y la oposición se acusaron mutuamente.	Sacrifican a una jirafa bebé por exceso de animales en zoológico - ‎hace 4 horas‎ 10-02-2014, Marius, de 18 meses fue asesinada en Copenhague a pesar de las miles de firmas en contra.	0
La iniciativa además infringe los Acuerdos Bilaterales con la UE y contradice el de la libre circulación de personas entre la UE y Suiza.	El resultado de ayer restablece, además de las cuotas, el principio de la preferencia por el trabajador nacional frente al extranjero, que estaba abolida desde 2002, en aplicación del acuerdo con la UE sobre la libre circulación de personas.	1.8
Santiago de Chile, 10 feb .- El presidente chileno, Sebastián Piñera, afirmó hoy que Chile deberá evaluar su permanencia en el Pacto de Bogotá tras perder 22.000 kilómetros cuadrados de mar que la Corte Internacional de Justicia otorgó a Perú y a las puertas de que Bolivia presente un recurso también a esa instancia.	El secretario del Transporte, Anthony Foxx, dijo que la tecnología tiene el potencial de reducir significativamente los accidentes, lesiones y muertes en las calles y carreteras de la nación.	0
Sánchez Cerén, del gobernante Frente Farabundo Martí para la Liberación Nacional , se impuso por unos 10 puntos a Quijano, de la Alianza Republicana Nacionalista , pero no alcanzó la mitad más uno de los votos necesarios para ganar los comicios según el Tribunal Supremo Electoral .	El Rey asigna un sueldo fijo anual a la Reina y a la Princesa Madrid, 3 feb .- El Rey ha decidido asignar a partir de 2014 a la Reina y a la Princesa de Asturias un sueldo fijo, como ya hacía con el Príncipe, que en el caso de doña Sofía será un 45 por ciento del suyo y en el de doña Letizia un 35 por ciento, mientras que doña Elena verá limitados sus gastos de representación a 25.000 euros.	0
Sin embargo, pasado el mediodía de ayer la noticia fue desmentida por el propio Francisco, quien —según un portal de noticias— se comunicó por teléfono con su amiga Alicia Barrios, periodista del diario Crónica, para desearle un feliz cumpleaños, y ante una consulta de ella le confirmó que la convocatoria a la mesa de diálogo es stodo un disparates .	A una mesa de diálogo Francisco se comunicó por teléfono con su amiga Alicia Barrios, periodista del diario Crónica, para desearle un feliz cumpleaños, y ante una consulta de ella le confirmó que la convocatoria a la mesa de diálogo es “todo un disparate”.	3
Los manifestantes obstaculizaron el tránsito en varias calles de la ciudad, cercanas a la sede del gobierno para gritar consignas como “ladrones fuera”, “queremos leyes” o “renuncia”, de acuerdo con informaciones de medios locales.	Los congregados corearon lemas como sladrones fueras, squeremos leyess o sdimisioness, y bloquearon al tráfico unas de las principales arterias de la capital, informan los medios de comunicación locales.	2.8
APATZINGÁN, México . - Grupos de autodefensas que han expulsado al cartel de los Caballeros Templarios de varios poblados del occidente de México ingresaron el sábado a la ciudad de Apatzingán, controlada por los narcotraficantes y trabajaban con fuerzas del gobierno para desalojar a los hombres armados de ese grupo delictivo, dijo un líder de las milicias.	Las autodefensas han capturado este sábado al hermano del líder del cártel mexicano de Los Caballeros Templarios en el estado mexicano de Michoacán, Antonio Plancarte, según ha confirmado el Gobierno de México.	2.4
Polémica en Dinamarca por el sacrificio de Marius la jirafa bebé del zoo de openhague A pesar de los denuncias de defensores de los animales y las ofertas de otros zoo, en Copenhague decidieron matar a Marius, de dos años.	La institución del país del europeo, justificó el sacrificio argumentando que fue una decisión para sevitar futuros problemas de consanguinidad porque el objetivo del zoo es asegurarse que los mejores genes pasan a las generaciones venideras, preservándose así a largo plazo la supervivencia de las especies que acogens, cita ABC.es., a pesar de los denuncias y campañas online de defensores de los animales y las ofertas de otros zoo para recibir a Marius. tiquetas	1.6
En las discusiones, Irán fue representado por Reza Najafi, su enviado ante la IAEA, mientras que el equipo del supervisor nuclear de la ONU fue dirigido por el vice director general de la entidad, Tero Varjoranta, agregó la agencia.	sEsperamos que, en el clima actual de cooperación, el director general de la AIEA presente un acuerdo positivo ante la junta de gobernadoress, añadió.	1
sPodemos utilizar el nivel de hierro de una estrella como un 'reloj' que nos indica cuándo se formó la estrellas, agrega.	sEn el caso de la estrella que hemos identificado, la cantidad de hierro presente es menor de una millonésima parte de la del sol y un factor de al menos 60 veces menos que cualquier otra estrella conocida.	1.4
Tras la muerte de Andrade, varias asociaciones de empresarios y profesionales de la prensa divulgaron comunicados en los que demandaron medidas de las autoridades para identificar a los responsables de la tragedia y evitar casos similares en el futuro.	Fabio Raposo, de 22 años, fue detenido en casa de sus padres en Río y será acusado de tentativa de homicidio, informó la Policía Civil a la AFP.	0.2
No es el momento de establecer una relación bilateral por parte de la UE con el Gobierno de Cuba porque no respeta los derechos humanoss y shay que exigirle ese respetos, según las sDamas de Blancos, grupo que recibió en 2005 el sPremio Sájarovs que concede el Parlamento Europeo para reconocer la defensa de los derechos humanos.	Ése es el esquema que la mesa chica de la CGT llevará esta semana a la reunión con Cristina Kirchner, que sería el miércoles.	0
Astrónomos australianos encuentran sla estrella más antigua del Universos Según los científicos, este cuerpo celeste se formó ssólos unos doscientos millones de años después del Big Bang.	Este cuerpo celeste se formó ssólos unos doscientos millones de años después del Big Bang, al origen del nacimiento del universo, según los expertos.	2.8
Los votantes del expresidente Elías Antonio Saca en las elecciones de ayer en El Salvador se han convertido en la clave para definir al ganador de los comicios presidenciales, admitieron hoy los dos candidatos rivales que han pasado a la segunda vuelta.	Los votantes del expresidente Elías Antonio Saca en las elecciones de este domingo en El Salvador serán la clave para definir quién será el próximo presidente del país, admitieron hoy los dos candidatos que pasaron a la segunda vuelta.	3.6
Cartes, que asumió el poder el pasado agosto de la mano del Partido Colorado, destacó los avances democráticos en los últimos 25 años, al tiempo que reconoció slos déficit de una prolongada transicións, marcada por escándalos de corrupción y spreocupantes índices de pobrezas.	sHoy se hace necesario que los partidos históricos reconozcamos que en algún momento de nuestra historia fuimos cómplices de regímenes arbitrarios, autoritarios, o de aventureross, agregó Velázquez.	0.6
Además, el tema que generó las protestas sigue sin resolverse: la negativa de Yanukovych de incorporarse a un acuerdo que intensificaría los lazos de Ucrania con la Unión Europea.	El país, en muy mala situación financiera, se privó de la ayuda europea al renunciar a fines de noviembre a un acuerdo de asociación con la Unión Europea , lo que desencadenó las protestas en la calle.	1.4
Cerca de 70 mil personas se congregaron en Kiev contra el presidente Viktor Yanukovich, quien en los últimos días viajó a Sochi para reunirse con el primer ministro ruso, Vladimir Putin.	La tensión en Ucrania no cesa, y la situación cada vez se va poniendo peor .	1.4
Según su relato, zarpó desde México el 24 de diciembre de 2012 junto a un compañero llamado Xiquel en un pequeña embarcación de fibra de vidrio, de unos 7,3 metros de eslora.	El hallazgo se hizo en las costas de Islas Marshall y, según el testimonio del hombre, su travesía comenzó el 21 de diciembre de 2012 en México, cuando salió a un día de pesca con un compañero a quien solo identificó como Ezequiel, un joven que describió de entre 15 y 18 años.	2
En el tema del sacerdocio femenino, la oposición es del 30 % entre los católicos europeos y el 36 % de los estadounidenses, frente al 80 % en África y el 76 % en Filipinas, el país con mayor población católica de Asia.	La oposición de la Iglesia sobre el matrimonio homosexual es compartida por el 99% de los católicos africanos, contra el 40% de los estadounidenses.	0.8
El zoológico de Copenhague informó este domingo que pondría a dormir al animal llamado Marius para evitar la endogamia .	Frente a Peñalosa, aún precandidato de la Alianza Verde, Santos ganaría con el 38,5 % de los votos, mientras que el exalcalde bogotano obtendría el 29,6 %.	0
La técnica del Instituto Geofísico, Fernanda Naranjo, dijo que “la actividad del volcán es alta, así se ha mantenido y esa actividad se ha caracterizado en la madrugada y mañana del lunes por fuertes episodios explosivos, también tenemos emisiones continuas de ceniza, que han ido principalmente al norte del volcán”.	sEl presidente ucraniano se encuentra bien, y tiene intención de volver al trabajo el luness, según el comunicado oficial de la Presidencia.	0
La misma opinión expresó Pedro Corzo, director del Instituto de la Memoria Histórica Cubana contra el Totalitarismo, quien cargó contra la negociación de diálogo político y cooperación de la UE con Cuba, un acuerdo, criticó, alcanzado ssin que se hallan producido cambios reales en la islas en materia de respeto a las libertades.	El director del Instituto de la Memoria Histórica Cubana contra el Totalitarismo, Pedro Corzo, también apuntó contra el acuerdo de la UE porque fue alcanzado ssin que se hayan producido cambios reales en la islas en materia de respeto a las libertades.	3
Los funcionarios del transporte estiman que la nueva tecnología podría prevenir hasta el 80% de los accidentes que no involucren conductores ebrios ni fallas mecánicas.	Las autoridades del establecimiento aseguraron que mataron al animal para evitar problemas genéticos futuros.	0
El presidente francés, François Hollande, efectuará mañana la primera visita de Estado de un mandatario galo a Estados Unidos desde 1996, para relanzar con su homólogo, Barack Obama, la economía y la cooperación internacional.	Originalmente previsto para la pareja presidencial, el protocolo de la visita ha tenido que adaptarse a un mandatario sin una compañera oficial, algo que el presidente francés quiere mantener después de que la prensa revelara su relación con la actriz Julie Gayet, lo que acabó por poner fin a su pareja.	1.6
En la tarde de ayer, en medio de los encendidos discursos de los líderes opositores que resonaban en la Plaza de la Independencia, la presidencia difundió un comunicado para informar que el mandatario volverá a su función hoy.	El presidente chileno estudia la posibilidad de enviar una carta de protesta a Perú El presidente chileno estudia la posibilidad de enviar una carta de protesta a Perú El presidente de Chile, Sebastián Piñera, afirmó hoy que estudia el envío de una carta de protesta a Perú, tras la publicación de un mapa en que ese país se adjudica un triángulo terrestre de 3,7 hectáreas, después de conocerse el fallo de la Corte Internacional de Justicia .	0
El zoo de Copenhague sacrificó hoy a una jirafa de dos años alegando que tenía que evitar futuros problemas de consanguinidad, pese a una intensa campaña pública en internet para salvar su vida y a la propuesta de alternativas.	Los ecologistas protestaban así por el sacrificio y posterior desuello de la jirafa Marius, de dos años, con el fin, según la administración del zoológico, de evitar futuros problemas de consanguinidad.	3
El cuerpo despedazado del animal se utilizó para alimentar a las fieras del parque.	Partió con un compañero llamado Ezequiel Córdoba, de 24 años, que murió durante el viaje, incapaz de soportar la dieta básica de pescado crudo, pájaro y tortuga, y cuyo cadáver lanzó por la borda, explicó el superviviente. -- ¿CÓMO SOBREVIVIÓ?	0.2
Los presidentes de EE.UU., Barack Obama, y Francia, François Hollande, centrarán las conversaciones que comienzan hoy con una visita a la residencia de Thomas Jefferson, en los desafíos de seguridad en Irán, Siria y África, así como en las vías para fortalecer la cooperación económica.	Este martes ambos mandatarios volverán a encontrarse en el Despacho Oval, después ofrecerán una conferencia de prensa conjunta y, por último, Hollande será agasajado por Obama con una cena de gala en la Casa Blanca.	1.8
Monticello srefleja el afecto de Jefferson por el pueblo de Francias, donde fue embajador entre 1785 y 1789, al igual que valores compartidos como sla vida, la libertad y la búsqueda de la felicidads, según la Casa Blanca.	sMonticello refleja el afecto de Jefferson por el pueblo de Francia, las relaciones entre nuestras dos democracias, y los valores compartidos que apreciamos: vida, libertad y la búsqueda de la felicidads, dijo la Casa Blanca al anunciar la visita.	3.8
Por un estrecho margen, de apenas 0,3% , los votantes suizos aprobaron hoy en referéndum volver al antiguo sistema para limitar la entrada de trabajadores de la UE, como lo hace en el caso de todo el resto de países.	Los suizos aprobaron el domingo en un referéndum, por el 50,3 % de los sufragios, volver a limitar la entrada de ciudadanos de países de la Unión Europea a su mercado laboral mediante el establecimiento de cuotas anuales de aquí a tres años.	2.8
Los cuidadores de un zoológico de Dinamarca han matado a un bebé jirafa para evitar la consanguinidad entre las diferentes especies del recinto y luego han servido sus restos a los leones para que estos les sirvieran de alimento.	El cuerpo despedazado del animal se utilizará para alimentar a las fieras del parque.	1.4
En una terna con las candidatas de la izquierda, Santos obtendría el 42,1 % de los sufragios frente al 26,8 % de Clara López, mientras que Avella tan solo recogería el 16,8 % de los votos frente al 45,3 % del actual mandatario.	La composición de la nueva estrella muestra que se formó a raíz de una estrella primigenia que tenía 60 veces la masa del sol.	0
El animal murió por un disparo de una pistola de perno, utilizada para sacrificar ganado, luego de descartar el empleo de una inyección letal -que hubiese contaminado su carne-, ya que está previsto que sus restos sean utilizados para investigación y como alimento de otros animales carnívoros que habitan este zoológico danés. También te puede interesar.	El animal murió por un disparo de una pistola de perno, después de que se descartase el empleo de una inyección letal -que hubiese contaminado su carne-, ya que está previsto que sus restos se empleen no sólo para investigación sino también para alimentar a carnívoros del zoo. comentario 19 Compartir .	4
Según la agencia oficial siria Sana, la delegación de la ONU y la Media Luna Roja ha sacado de esos barrios cercados a más de 600 mujeres, niños y hombres mayores de 55 años desde el inicio de las operaciones de extracción el pasado viernes.	Según la agencia oficial siria Sana, la delegación de la ONU y la Media Luna Roja sacó de esos barrios cercados a un nuevo grupo de 112 personas, todas ellas niños, mujeres y ancianos.	2.2
Tomka indica la Corte debe determinar el punto de partida de la frontera marítima, es decir, el Punto de Concordia o el Hito N° 1.	De acuerdo a los argumentos peruanos, el límite terrestre inicia en el punto Concordia y no en el Hito N° 1.	2.8
Cuando se dio aviso a la policía y llegaron los agentes, el secuestrador disparó hiriendo a dos de ellos, uno de los cuales falleció después.	Cuando llegaron al lugar los agentes de policía, el captor disparó e hirió a dos de ellos, uno de los cuales falleció después.	4
También se ha reportado la muerte de 40 personas, la última víctima, una niña, en la localidad de Guanay”, detalló la autoridad.	La última fallecida fue una niña del municipio de Guanay , eso fue esta madrugada”, informó Saavedra.	2.8
Los cuidadores de un zoológico de Dinamarca han matado a un bebé jirafa para evitar la consanguinidad entre las diferentes especies del recinto y luego han servido sus restos a los leones para que estos les sirvieran de alimento.	Esto ha indignado a los miles de ciudadanos que ya firmaron peticiones para que no se llegara al extremo de sacrificar el animal.	1.6
La CE, a través de su portavoz Pia Ahrenkilde, subrayó hoy que sel mensaje es muy claro: La libertad de movimientos de personas es una libertad sagrada en la UE, y es una de las cuatro que defendemoss.	sEl mensaje es muy claro: la libertad de movimientos de personas es un libertad sagrada en la UE, y es una de las cuatro que defendemoss, dijo la portavoz de la CE Pia Ahrenkilde en una conferencia de prensa, en referencia a las libertades que la UE considera fundamentales para su mercado interior: la de movimientos de personas, de capitales, mercancías y servicios.	2.4
El animal fue descuartizado frente a un grupo de niños y, posteriormente sus restos fueron dados de comer a los leones.	Es así como luego de dar muerte a la jirafa, su cuerpo inerte fue desmembrado frente a los visitantes entre ellos niños, y luego su carne fue arrojada como alimento a los leones.	2.8
Los empleados del zoo utilizaron una pistola neumática en lugar de una inyección letal para que la carne no estuviera contaminada y pudiera así servir de alimento a los carnívoros del recinto.	El animal murió por un disparo de una pistola de perno, después de que se descartase el empleo de una inyección letal -que hubiese contaminado su carne-, ya que está previsto que sus restos se empleen no sólo para investigación sino también para alimentar a carnívoros del zoo. comentario 19 Compartir .	2.6
